,Japanese,Lao,phonetic alphabet,English
,煙,ຄັວນ ,khua'n, smoke
,下痢,ຖອກທ້ອງ ,htohk thohng2, diarrhea
,下痢止め,ຢາດີເຈັບທ້ອງ ,yaa dii jep thohng2, medicine to treat diarrhea
,蹴る,ເຕະ ,te, kick
,けれどkeredo,ແຕ່ວ່າ ,tae1 waa1, but
,けれどもkeredomo,ແຕ່ ,tae1, but
,けれどもkeredomo,ແຕ່ວ່າ ,tae1 waa1, but
,県,ແຂວງ ,hkwaeng, province
,券,ປີ້ ,pii2, ticket
,原因gen-in,ສາເຫດ ,saa hheet, primary cause
,喧嘩,ຕີກັນ ,tii kan, quarrel
,見学,ທັດສະນະສຶກສາ ,that sa na suek saa, study tour
,玄関,ປະຕູຫນ້າ ,pa tuu hnaa2, front entrance
,元気,ກຳລັງ ,kam lang, healthy
,元気,ສະບາຍດີ ,sa baay dii, healthy
,元気ですか,ສະບາຍດີບໍ່ ,sa baay dii boh1, how are you
,研究,ຄົ້ນຄວ້າ ,khon2 khwaa2, search
,言語gengo,ພາສາສາດ ,phaa saa saat, language
,健康,ສຸຂະພາບ ,su hka phaap, health
,健康診断,ກວດສຸຂະພາບ ,kuat su hka phaap, medical examination
,検査,ກວດ ,kuat, check
,現在genzai,ປະຈຸບັນ ,pa ju ban, present
,原産地,ບ່ອນຜະລິດ ,bohn1 hpa lit, place of product
,原子爆弾genshi,ລະເບີດປະລຳມະນູ ,la bert pa lam ma nuu, atomic bomb
,研修,ສຶກສາ ,suek saa, study
,現象,ປະກົດການ ,pa kot kaan, phenomenon
,原子力,ປະລຳມະນູ ,pa lam ma nuu, atom
,原子力発電所,ໂຮງໄຟຟ້າປະລຳມະນູ ,hoong fai faa2 pa la ma nuu, atomic power station
,建設,ກໍ່ສ້າງ ,koh1 saang2, construct
,建設業,ບໍລິສັດກໍ່ສ້າງ ,boh li sat koh1 saang2, construction company
,現像,ລ້າງຮູບ ,laang2 huup, print photo
,現代gendai,ຊູ່ມື້ນີ້ ,xuu1 meu2 nii2, modern times
,建築,ກໍ່ສ້າງ ,koh1 saang2, construct
,限定,ກຳນົດເກນ ,kam not keen, set a limit
,鍵盤kemban,ແປ້ນພິມ ,paen2 phim, keyboaed 
,見物,ເບິ່ງ ,boeng1, see
,憲法,ລັດຖະທຳມະນູນ ,lat hta tham ma nuun, constitution
,倹約,ປະຫຍັດ ,pa hyat, save money
,権利,ສິດທິ ,sit thi, right
,（～）語,ພາສາ ,phaa saa, ~ language
,五（５）,ຫ້າ ,hhaa2, five
,コアラ,ຫມີໂຄອາລາ ,hmii khoo aa laa, koala bear
,恋,ຫລົງຮັກ ,hlong hak, fall in love
,濃い,ເຂັ້ມ ,hkem2, dark
,恋,ຄວາມຮັກ ,khwaam hak, love
,恋しいkoishii,ຄິດຮອດ ,khit hoht, miss
,恋しく,ຄຶດຮອດ ,khuet hoht, think of
,恋人,ແຟນ ,faen, lover
,行為,ການເຄື່ອນໃຫວ ,kaan kheuan1 hhway, action
,工員,ກຳມະກອນ ,kam ma kohn, worker
,公衆トイレ,ຫ້ອງນ້ຳສາທາລະນະ ,hhohng2 nam2 saa thaa la na, public toilet
,公園,ສວນ ,suan, park
,公園,ສວນສາທາລະນະ ,suan saa thaa la na, public garden
,効果kooka,ຜົນກະທົບ ,hpon ka thop, effect
,硬貨,ຫລຽນ ,hlian, medal
,後悔,ເສຍໃຈ ,seey jay, be sorry
,郊外,ນອກເມືອງ ,nohk meuang, country side
,合格,ເສັງໄດ້ ,seng dai2, pass the exam
,交換,ແລກປ່ຽນ ,laek pian1, exchange
,睾丸koogan,ຫຳ ,hham, testicle
,抗議,ຄັດຄ້ານ ,khat khaan2, protest
,好奇心kookishin,ຄວາມຮູ້ສຶກຢາກເຫັນ ,khwaam huu2 suek yaak hhen, be curious
,工業,ອຸດສະຫະກຳ ,ut sa hha kam, industry
,航空会社kookuu,ບໍລິສັດສາຍການບິນ ,boh li sat saay kaan biin, airline company
,航空券kookuu,ປີ້ຍົນ ,pii2 nyon, air ticket
,航空便,ໄປສະນີອາກາດ ,pai sa nii aa kaat, air mail
,合計,ລວມ ,luam, sum up
,高血圧,ຄວາມກົດດັນສູງ ,khwaam kot dan suung, high blood pressure
,口語koogo,ຄຳເວົ້າ ,kham wao2, spoken word
,口語koogo,ພາສາເວົ້າ ,phaa saa wao2, speaking language
,高校,ໂຮງຮຽນມັດທະຍົມຕອນປາຍ ,hoong hian mat tha nyom tohn paay, senior high-school
,広告,ໂຄສະນາ ,khoo sa naa, advertise
,口座,ບັນຊີ ,ban xii, account
,交際,ຄົບກັນໄປ ,khop kan pai, keep company
,交差点koosaten,ສີ່ແຍກ ,sii1 nyaek, cross road
,口座番号,ເລກບັນຊີ ,leek ban xii, account number
,工事,ກໍ່ສ້າງ ,koh1 saang2, construct
,公式kooshiki,ສູດ ,suut, formula
,公式kooshiki,ທາງການ ,thaang kaan, official
,工事中,ກຳລັງກໍ່ສ້າງ ,kam lang koh1 saang2, under construction
,公衆電話,ໂທລະສັບສາທາລະນະ ,thoo la sap saa thaa la na, public telephone
,交渉,ຕິດຕໍ່ເຈລະຈາ ,tit toh1 jee la jaa, negotiate
,工場kyoojoo,ໂຮງງານ ,hoong ngaan, factory
,行進,ເດີນສວນສະຫນາມ ,dern suan sa hnaam, march
,香辛料,ເຄື່ອງເທດ ,kheuang1 theet, spice 
,香水koosui,ນ້ຳຫອມ ,nam2 hhohm, perfume
,洪水koozui,ນ້ຳຖ້ວມ ,nam2 htuam2, flood 
,構造,ໂຄງສ້າງ ,khoong saang2, structure
,高層ビル,ຕຶກສູງ ,tuek suung, high building
,交替,ປ່ຽນຜຽນ ,pian1 hpian, take one's turn
,紅茶,ນ້ຳຊາຝະລັ່ງ ,nam2 xaa hfa lang1, tea
,校長koochoo,ອຳນວຍການໂຮງຮຽນ ,am nuay kaan hoong hian, schoolmaster
,交通kootsuu,ຈາລະຈອນ ,jaa la john, traffic
,交通事故kootsuu,ອຸບັດຕິເຫດຕາມທ້ອງຖະຫນົນ ,u bat ti hheet taam thohng2 hta hnon, car accident
,皇帝,ເຈົ້າຈັກກະພັດ ,jao2 jak ka phat, the emperor
,強盗,ໂຈນ ,joon, thief
,強盗,ປຸ້ນ ,pun2, rob
,合同,ຮ່ວມກັນ ,huam1 kan, join
,交番,ປ້ອມຍາມຕຳຫລວດ ,pohm2 nyaam tam hluat, police box
,幸福koofuku,ຄວາມສຸກ ,khwaam suk, happiness
,興奮,ຕື່ນເຕັ້ນ ,teun1 ten2, excited
,公平koohei,ຍຸດຕິທຳ ,nyut ti tham, justice
,公務員,ພະນັກງານລັດ ,pha nak ngaan lat, civil official
,校門,ປະຕູໂຮງຮຽນ ,pa tuu hoong hian, school gate
,肛門koomon,ຮູຂີ້ ,huu hkii2, anus
,小売,ຂາຍຍ່ອຍ ,hkaay nyohy1, retail sale
,交流,ການແລກປ່ຽນທັດຊະນະ ,kaan laek pian1 that sa na, interchange
,声が小さい,ສຽງຄ່ອຍ ,siang khohy1, quiet noise
,声が大きい,ສຽງດັງ ,siang dang, loud noise
,声,ສຽງ ,siang, voice
,声,ສຽງເວົ້າ ,siang wao2, speaking sound
,越える,ເກີນ ,kern, over
,コートkooto,ເສື້ອຄຸມ ,seua2 khum, coat
,コーヒーkoohii,ກາເຟ ,kaa fee, coffee
,氷koori,ນ້ຳກ້ອນ ,nam2 kohn2, ice
,凍る,ກາຍເປັນນ້ຳກ້ອນ ,kaay pen nam2 kohn2, become ice
,誤解,ເຂົ້າໃຈຜິດ ,hkao2 jay hpit, misunderstand
,コカコーラkoka,ໂຄກ ,khook, coke
,５月,ເດືອນພຶດສະພາ ,deuan phuet sa phaa, May
,５月gogatsu,ເດືອນຫ້າ ,deuan hhaa2, May
,５月gogatsu,ພຶດສະພາ ,phuet sa phaa, May
,小切手kogi¿te,ໃບເຊັກ ,bay xek, check
,ゴキブリ,ແມງສາບ ,maeng saap, cockroach
,呼吸,ຫາຍໃຈ ,hhaay jay, breathe
,故郷kokyoo,ບ້ານເກີດ ,baan2 kert, home land
,国語,ພາສາຂອງປະເທດ ,phaa saa hkohng pa theet, native language
,国際電話,ໂທລະສັບໄປຕ່າງປະເທດ ,thoo la sap pai taang1 pa theet, international call
,国籍kokusei,ສັນຊາດ ,san xaat, nationality
,黒板,ກະດານດຳ ,ka daan dam, black board
,国民kokumin,ປະຊາຊົນ ,pa xaa xon, citizen
,国立公園,ສວນແຫ່ງຊາດ ,suan hhaeng1 xaat, national park
,ご苦労様,ຂອບໃຈເດີ້ ,hkohp jay der2, thank you
,焦げる,ໄຫມ້ ,hmai2, burn
,ここ,ບ່ອນນີ້ ,bohn1 nii2, here
,ここ,ພີ້ ,phii2, here
,ここ（に）,ຢູ່ນີ້ ,yuu1 nii2, here
,午後gogo,ຕອນບ່າຍ ,tohn baay1, afternoon
,ご幸運をgo,ໂຊກດີ ,xook dii , good luck
,ココナツ,ຫມາກພ້າວ ,hmaak phaaw2, coconut
,心,ໃຈ ,jay, heart
,心,ຫົວໃຈ ,hhua jay, heart
,心が狭い,ໃຈແຄບ ,jay khaep, narrow minded
,（～で）ございます,ເປັນ ,pen, be
,ございますgozaimasu,ມີ ,mii, exist
,腰,ແອວ ,aew, waist
,乞食,ຄົນຂໍທານ ,khon hkoh thaan, beggar
,故障,ເຮັດເພ ,het phee, broke
,胡椒koshoo,ພິກໄທ ,phik thai, pepper
,個人,ສ່ວນຕົວ ,suan1 tua, private
,越す,ເກີນ ,kern, over
,擦る,ຖູ ,htuu, brush
,個性的,ບຸກຄະລິກລັກສະນະ ,buk kha lik lak sa na , with a personality
,小銭kozeni,ເງີນທອນ ,ngern thohn, small money
,午前gozen,ຕອນເຊົ້າ ,tohn xao2, morning
,固体kotai,ທາດແຂງ ,thaat hkaeng, solid matter
,答えkotae,ຄຳຕອບ ,kham tohp, answer
,答え合わせ,ກວດຄຳຕອບ ,kuat kham tohp, check answers
,答える,ຕອບ ,tohp, answer
,ご馳走様でした,ຂອບໃຈອາຫານແຊບຫລາຍ ,hkohp jay aa haan xaep hlaay, it was delicious
,国歌ko¿ka,ເພັງຊາດ ,pheng xaat, national anthem
,国旗ko¿ki,ທຸງຊາດ ,thung xaat, national flag
,国境ko¿kyoo,ຊາຍແດນ ,xaay daen, border
,コックko¿ku,ພໍ່ຄົວ ,phoh1 khua, chef
,骨折,ກະດູກຫັກ ,ka duuk hhak, broken born
,小包kozutsumi,ຫໍ່ເຄື່ອງຝາກ ,hhoh1 kheuang1 hfaak, parcel
,骨董品,ວັດຖຸບູຮານ ,wat htu buu haan, antiquity
,コップ,ຈອກ ,johk, glass
,（～の）こと,ເລື່ອງກ່ຽວກັບ ,leuang1 kiaw1 kap, things about ~
,小道具kodoogu,ອຸປະກອນປະກອບສາກ ,u pa kohn pa kohp saak, stage properties
,孤独,ຄົນດຽວ ,khon diaw, lonely
,孤独,ຢູ່ຄົນດຽວ ,yuu1 khon diaw, lonely
,今年,ປີນີ້ ,pii nii2, this year
,異なるkotonaru,ຕ່າງ ,taang1, strange
,言葉kotoba,ຄຳສັບ ,kham sap, vocabulary
,子供kodomo,ເດັກນ້ອຍ ,dek nohy2, child
,子供,ລູກ ,luuk, baby
,子供っぽい,ນິໃສເດັກນ້ອຍ ,ni say dek nohy2, child habit
,子供服,ເສື້ອເດັກນ້ອຍ ,seua2 dek nohy2, child cloth
,小鳥kotori,ນົກນ້ອຍ ,nok nohy2, small bird
,諺,ຄຳສຸພາສິດ ,kham su phaa sit, proverb
,断るkotowaru,ປະຕິເສດ ,pa ti seet, refuse 
,粉,ແປ້ງ ,paeng2, powder
,この（～）,ນີ້ ,nii2, this
,このくらいkono,ສ່ຳນີ້ ,sam1 nii2, just this
,この様,ຢ່າງນີ້ ,yaang1 nii2, like this
,ご飯gohan,ເຂົ້າສຸກ ,hkao2 suk, steam rice
,コピー,ອັດເອກະສານ ,at ee ka saan, copy
,こぼす,ເຮ່ຍ ,heey1, spill
,細かいkomakai,ມຸ່ນ ,mun1, fine
,ごまかすgomakasu,ຂີ້ໂກງ ,hkii2 koong, cheat
,困る,ໄດ້ຮັບຄວາມລຳບາກ ,dai2 hap khwaam lam baak, suffer from
,ゴミgomi,ຂີ້ເຫຍື້ອ ,hkii2 hyeua2, garbage
,混み合う,ແອອັດຂຶ້ນ ,ae at hkuen2, become crowded
,ゴミ箱,ຖັງຂີ້ເຫຍື້ອ ,htang hkii2 hyeua2, garbage tank
,混むkomu,ແອອັດຂຶ້ນ ,ae at hkuen2, become crowded
,小麦粉,ແປ້ງສາລີ ,paeng2 saa lii, flour
,米,ເຂົ້າດິບ ,hkao2 dip, rice
,ごめんなさい,ຂໍໂທດ ,hkoh thoot, sorry
,小指koyubi,ນິ້ວກ້ອຍ ,niw2 kohy2, little finger
,ゴルフ,ກອບ ,kohp, golf
,これ,ນີ້ ,nii2, this
,これ,ອັນນີ້ ,an nii2, this
,これからkore,ຈາກນີ້ ,jaak nii2, from now
,これで,ດ້ວຍ ,duay2, with this
,コレラkorera,ອະຫິວາ ,a hhi waa, cholera
,（～）ごろ,ປະມານ ,pa maan, around ~
,転がすkorogasu,ກິ້ງ ,king2, roll (n)
,転がる,ກິ້ງ ,king2, roll oneself
,殺す,ຂ້າ ,hkaa2, kill
,転ぶ,ລົ້ມ ,lom2, stumble
,怖い,ຢ້ານ ,yaan2, be afraid of 
,壊すkowasu,ທຳລາຍ ,tham laay, destroy
,壊れたkowareta,ແຕກ ,taek, broken
,今回konkai,ຄັ້ງນີ້ ,khang2 nii2, this time
,今回konshuu,ເທື່ອນີ້ ,theua1 nii2, this time
,今月kongetsu,ເດືອນນີ້ ,deuan nii2, this month
,コンサート,ຄອນເສີດ ,khohn sert, concert
,混雑,ແອອັດຂຶ້ນ ,ae at hkuen2, become crowded
,今週konshuu,ອາທິດນີ້ ,aa thit nii2, this week
,コンセント,ຮູປັກສຽບ ,huu pak siap, plug
,コンタクトレンズkontakuto,ຄອນແທກເລັນ ,khohn thaek len, contract lens
,今度kondo,ເທື່ອຫນ້າ ,theua1 naa2, next time
,今度kondo,ມື້ຫນ້າ ,meu2 hnaa2, next time
,コンドームkondoomu,ຖົງຢາງອານາໄມ ,htong yaang aa naa mai, condom
,困難,ລຳບາກ ,lam baak, difficult
,こんにちは,ສະບາຍດີ (ຕອນສວຍ) ,sa baay dii, good afternoon
,こんにちわ,ສະບາຍດີ (ຕອນສວຍ) ,sa baay dii, good afternoon
,今晩komban,ມື້ແລງ ,meu2 laeng, this evening
,今晩,ມື້ແລງນີ້ ,meu2 laeng nii2, tonight
,こんばんは,ສະບາຍດີ (ຕອນແລງ) ,sa baay dii, good evening
,こんばんわ,ສະບາຍດີ (ຕອນແລງ) ,sa baay dii, good evening
,コンピューターkompyuutaa,ຄອມພິວເຕີ້ ,khohm phiw ter2, computer
,今夜,ກາງຄືນນີ້ ,kaang kheun nii2, tonight 
,婚約,ຫມັ້ນ ,hman2, engage
,コンロ,ເຕົາ ,tao, stove
,差,ຕ່າງກັນ ,taang1 kan, different
,差,ແຕກຕ່າງ ,taek taang1, difference
,サーズsaazu,ໂລກຊາ ,look xaa, SARS
,サービス,ໃຫ້ລ້າ ,hhay2 laa2, free of charge
,サービス料,ຄ່າບໍລິການ ,khaa1 boh li kaan, service fee
,再会,ເຈີກັນອີກ ,jer kan iik, see you again
,細菌,ເຊື້ອພະຍາດ ,xeua2 pha nyaat, bacteria 
,最近saikin,ຊ່ວງນີ້ ,xuang1 nii2, recentry
,細菌,ແບັດທີເລຍ ,be't thii leey, bacteria
,サイクリング,ຂີ່ລົດຖີບໄປຫລີ້ນ ,hkii1 lot htiip pai hlin2, cycling
,最後,ສຸດທ້າຍ ,sut thaay2, at the end
,最高,ສູງສຸດ ,suung sut, the most
,最高,ທີ່ສຸດ ,thii1 sut, the most
,サイコロ,ລູກຫມາກກະລອກ ,luuk hmaak ka lohk, dice
,財産zaisan,ຊັບສົມບັດ ,xap som bat, property
,祭日saijitsu,ວັນພັກ ,wan phak, holiday
,最初,ຄັ້ງທຳອິດ ,khang2 tham it, first time
,最初,ທຳອິດ ,tham it, the first
,最小,ນ້ອຍທີ່ສຸດ ,nohy2 thii1 sut, the smallest
,最新,ທັນສະໄຫມ ,than sa hmai, up to date
,最新,ໃຫມ່ທີ່ສຸດ ,hmai1 thii1 sut, the newest
,サイズsaizu,ຂະຫນາດ ,hka hnaat, size
,催促,ເຕືອນ ,teuan, remind (p)
,最大,ໃຫຍ່ທີ່ສຸດ ,hyay1 thii1 sut, the biggest
,災難sainan,ໄພພິບັດ ,phai phi bat," mishap, disaster"
,才能,ສີມື ,sii meu, talented ability
,再発行,ອອກໃຫ້ ,ohk hhay2, issue
,裁判,ຕັດສິນ ,tat sin, judge
,裁判所,ສານຍຸດຕິທຳ ,saan nyut ti tham, court
,財布saifu,ກະເປົາເງີນ ,ka pao ngern, wallet
,材木zaimoku,ທ່ອນໄມ້ ,thohn1 mai2," wood, timber"
,材料zairyoo,ວັດຖຸ ,wat htu, material to make
,サイン,ເຊັນ ,xen, sign
,サイン,ເຊັນຊື່ ,xen xeu1, sign
,サウナ,ຮົມຢາ ,hom yaa, sauna
,（～）さえ,ແມ່ນກະທັ້ງແຕ່ ,maen1 ka thang2 tae1 , even
,坂,ທາງພູ ,thaang phuu, slope
,境sakai,ຊາຍແດນ ,xaay daen, boundary
,さかさま,ກັບດ້ານ ,kap daan2, upside-down
,探すsagasu,ຄົ້ນຫາ ,khon2 hhaa, look for
,探すsagasu,ຊອກຫາ ,xohk hhaa, look for
,探す,ຫາ ,hhaa, look for
,魚,ປາ ,paa, fish
,作業,ການ ,kaan, work
,作業,ການງານ ,kaan ngaan, work
,作業,ວຽກ ,wiak, work
,作業,ເຮັດວຽກ ,het wiak, work
,咲く,ບານ ,baan, bloom
,昨日,ມື້ວານນີ້ ,meu2 waan nii2, yesterday
,昨晩,ມື້ຄືນວານນີ້ ,meu2 kheun waan nii2, last night
,作品sakuhin,ສິນຄ້າ ,sin khaa2, product
,桜sakura,ດອກຊາກຸລະ ,dohk xaa ku la, sakura flower
,酒のつまみ,ຂອງແກ້ມເຫລົ້າ ,hkohng kaem2 hlao2, snack
,酒sake,ເຫລົ້າຊາເກ ,hlao2 xaa kee, liquor
,酒飲みsakenomi,ຂີ້ເຫລົ້າ ,hkii2 hlao2, alcoholism
,叫ぶ,ຮ້ອງ ,hohng2, shout
,避ける,ຫລີກ ,hliik," deviate, avert, avoid"
,支えるsasaeru,ຫນູນ ,hnuun, support
,指図,ສັ່ງ ,sang1, instruct
,差出人,ຜູ້ສົ່ງ ,hpuu2 song1, sender
,刺身sashimi,ຊາຊິມິ ,xaa xi mi, raw fish
,刺身,ປາດິບ ,pa dip, raw fish
,指す,ຊີ້ ,xii2, point
,刺す,ປັກ ,pak, stick
,座席zaseki,ບ່ອນນັ່ງ ,bohn1 nang1, seat
,座席番号,ເລກບ່ອນນັ່ງ ,leek bohn1 nang1, seat number
,させる,ໃຫ້ ,hhay2, let
,（～）させる,ໃຫ້ຄືນ ,hhay2 kheun, let (n) (v)
,させるsaseru,ໃຫ້ຄືນ ,hhay2 kheun, let
,誘う,ຊັກຊວນ ,xak xuan, ask to go with
,誘う,ຊວນ ,xuan, invite
,（～）札(～),ເງີນເຈ້ຍ ,ngern jeey2, ~ bill
,撮影可,ຖ່າຍໄດ້ ,htaay dai2, photo permitted
,撮影禁止,ຫ້າມຖ່າຍຮູບ ,hhaam2 htaay1 huup, No photos
,作家sa¿ka,ນັກຂຽນ ,nak hkian, novelist 
,サッカー,ເຕະບານ ,te baan, soccer
,さっき,ເມື່ອກີ້ ,meu1 kii2, just a moment ago
,雑誌za¿shi,ວາລະສານ ,waa la saan, magazine
,砂糖satoo,ນ້ຳຕານ ,nam2 taan, sugar
,砂漠sabaku,ທະເລຊາຍ ,tha lee xaay, desert
,寂しいsabishii,ເຫງົາ ,hngao, lonely
,錆びる,ກາຍເປັນຫມ້ຽງ ,kaay pen hmiang2, get rusty
,（～）様,ຄຳລົງທ້າຍຄຳນາມ ,kham long thaay2 kham naam, (make polite name)
,妨げる,ປ້ອງກັນ ,pohng2 kan, prevent (p)
,寒い,ຫນາວ ,hnaaw, cold
,寒気,ຮູ້ສຶກຫນາວໄຂ້ ,huu2 suek hnaaw hkai2, feeling of cold
